Message,Category
"I need a modern website for my business","Web Development"
"Can you create an online store for my products?","Web Development"
"I want a responsive company website","Web Development"
"Please redesign my existing website","Web Development"
"Do you build portfolio websites?","Web Development"
"I need a landing page for my new service","Web Development"
"Can CoreTech develop a website with contact forms?","Web Development"
"I want a professional website for my startup","Web Development"
"I need an Android application for my business","App Development"
"Can you build an iPhone app for my customers?","App Development"
"I want a mobile app for food delivery","App Development"
"Please create an app for booking appointments","App Development"
"Do you develop cross platform mobile applications?","App Development"
"I need an app with user login and notifications","App Development"
"Can you make an app for my online store?","App Development"
"I want to convert my idea into a mobile application","App Development"
"I need a clean user interface for my website","UI/UX Design"
"Can you design a mobile app screen?","UI/UX Design"
"I want a modern dashboard design","UI/UX Design"
"Please improve the user experience of my application","UI/UX Design"
"Do you provide wireframe and prototype design?","UI/UX Design"
"I need a professional UI design for my project","UI/UX Design"
"Can you redesign the layout of my website?","UI/UX Design"
"I want better navigation for my mobile app","UI/UX Design"
"I want to promote my business on social media","Digital Marketing"
"Can you manage Facebook and Instagram marketing?","Digital Marketing"
"I need a digital marketing campaign for my brand","Digital Marketing"
"Please help me reach more customers online","Digital Marketing"
"Do you provide social media content marketing?","Digital Marketing"
"I want advertisements for my new product","Digital Marketing"
"Can you run online ads for my business?","Digital Marketing"
"I need help with brand awareness campaigns","Digital Marketing"
"My website does not appear on Google search","SEO"
"I need SEO services for my business website","SEO"
"Can you improve my website ranking?","SEO"
"I want more organic traffic from search engines","SEO"
"Please optimize my website keywords","SEO"
"Do you provide Google ranking improvement services?","SEO"
"I need search engine optimization for my online store","SEO"
"Can you audit the SEO of my website?","SEO"
"I need custom software for my company","Software Solutions"
"Can you build a management system for my office?","Software Solutions"
"I want software to manage inventory","Software Solutions"
"Please develop a billing system for my business","Software Solutions"
"Do you create customized business software?","Software Solutions"
"I need a database system for my organization","Software Solutions"
"Can you build an employee management system?","Software Solutions"
"I want software automation for repetitive tasks","Software Solutions"
"What services does CoreTech provide?","General Inquiry"
"How can I contact CoreTech?","General Inquiry"
"Can I get a quotation for my project?","General Inquiry"
"What are your working hours?","General Inquiry"
"Do you offer free consultation?","General Inquiry"
"Where is CoreTech located?","General Inquiry"
"How long does a project usually take?","General Inquiry"
"Can I schedule a meeting with your team?","General Inquiry"
"I am unhappy with the service provided","Complaint"
"My project delivery is delayed","Complaint"
"I did not receive a response from support","Complaint"
"The website has many errors after delivery","Complaint"
"I am facing problems with my application","Complaint"
"Your team has not replied to my email","Complaint"
"I want to report an issue with my project","Complaint"
"I am not satisfied with the final design","Complaint"
